name,follower_count,gender,sum(voteup_count),expertivity
知乎用户,239,1,5,-0.096391461
知乎用户,1,1,3,-0.10260149800000001
大水人,2,1,0,-0.102575405
Cheesecake,7,1,18,-0.102444942
木子Sir,2,-1,4,-0.102575405
贴秋膘,11,0,0,-0.10234057199999999
邹二,541,1,13,-0.08851149900000001
陈一七,469,1,0,-0.090390165
高山山,5,0,6,-0.102497128
丁丁,4,1,2,-0.10252322
年迈的老法师,83,1,26,-0.10046190599999999
路小行在路上,0,0,0,-0.10262759099999999
明月别枝惊鹊,9,1,8,-0.10239275699999999
Michael,64,1,0,-0.100957665
爱因斯坦,0,-1,0,-0.10262759099999999
周九,0,-1,0,-0.10262759099999999
luodongseu,9,1,2,-0.10239275699999999
xing,87,-1,1,-0.100357535
丁霄汉,290,-1,17,-0.095060739
知乎用户,11,0,0,-0.10234057199999999
知乎用户,152,1,1,-0.09866151699999999
王宇峰,45,1,1,-0.101453424
Liup,9,1,4,-0.10239275699999999
Going,414,1,24,-0.091825258
撸代码的猿,5,1,0,-0.102497128
嘿嘿嘿,1,1,1,-0.10260149800000001
西红柿炒蛋,2,-1,0,-0.102575405
承志,41,1,0,-0.101557794
慕容初晓,1690,0,3,-0.058531112
Datawhale,21,-1,2,-0.102079646
Hephaestus,18,-1,5,-0.102157924
Hanyu Liu,1135,1,2,-0.0730125
白梦君,45605,0,4,1.087325024
orangeprince,1656,1,46,-0.05941826
邓钰,2,1,0,-0.102575405
昀之希,7,-1,0,-0.102444942
自兴人工智能,170,1,3,-0.09819185
喵小蓓,126,0,6,-0.09933992400000001
天呐你真高,69,1,18,-0.10082720199999999
佑驾创新MINIEYE,482,-1,14,-0.090050962
十一太保念技校,615,1,6,-0.086580647
八月,0,-1,0,-0.10262759099999999
一心爸,511,1,8,-0.08929427699999999
liu,0,-1,0,-0.10262759099999999
知乎用户,11,1,0,-0.10234057199999999
忆臻,23977,1,10,0.522994465
暗潮涌,2219,1,635,-0.044728131
Baojian Zhou,16,1,10,-0.10221010900000001
王岩,2060,1,1,-0.048876853
知乎用户,1396,1,4,-0.066202334
高天明,89,1,286,-0.10030535
卢Alpha,2780,1,1,-0.030090187
偷故事的人,6,-1,1,-0.102471035
tmtmaya,401,1,1,-0.09216446199999999
不想忘记的那一晚,0,-1,1,-0.10262759099999999
Hyperegg,6,-1,1,-0.102471035
陈润青,16,1,1,-0.10221010900000001
周周,0,1,0,-0.10262759099999999
Pickle Pee,306,1,104,-0.09464325800000001
砍柴十年,0,-1,0,-0.10262759099999999
追梦飞阳,102,1,26,-0.09996614599999999
谢同学,66,-1,4,-0.10090548
anglum,12,-1,0,-0.10231448
知乎用户,45,1,1,-0.101453424
知乎用户,281,1,220,-0.09529557300000001
霍俊毅,17,1,32,-0.10218401699999999
jkrs,50,1,0,-0.101322961
知乎用户,285,1,2,-0.09519120199999999
Zheng Wang,211,1,3,-0.097122054
Ground,8614,1,15,0.122133989
科学匠人,294,1,0,-0.094956369
weijia,14,-1,0,-0.102262294
知乎用户,12696,1,6,0.228643945
王二,1,-1,2,-0.10260149800000001
梁为,2,1,0,-0.102575405
知乎用户,29907,1,0,0.67772353
